,latitude,longitude,ch4,time
138,-19.74,134.08,1804.54,1562803672.0
139,-19.62,133.52,1825.6,1562803672.0
140,-19.49,132.93,1813.77,1562803672.0
141,-21.13,138.69,1834.0,1562803677.0
142,-21.04,138.22,1824.28,1562803678.0
143,-20.87,137.3,1822.98,1562803678.0
144,-20.42,134.98,1821.1,1562803679.0
145,-20.21,133.95,1828.65,1562803680.0
146,-20.09,133.4,1819.2,1562803680.0
147,-19.96,132.8,1831.39,1562803680.0
148,-21.26,136.73,1800.77,1562803686.0
149,-21.08,135.81,1806.68,1562803687.0
150,-20.99,135.34,1801.92,1562803687.0
151,-20.89,134.86,1798.91,1562803687.0
152,-20.79,134.35,1817.84,1562803687.0
153,-20.68,133.83,1812.25,1562803688.0
154,-20.56,133.27,1821.95,1562803688.0
155,-20.43,132.68,1830.07,1562803688.0
156,-21.9,137.53,1817.47,1562803694.0
157,-21.55,135.69,1818.6,1562803695.0
158,-21.46,135.22,1813.57,1562803695.0
159,-21.36,134.73,1817.26,1562803695.0
160,-21.25,134.23,1818.35,1562803695.0
161,-21.02,133.14,1798.69,1562803696.0
162,-20.89,132.55,1804.36,1562803696.0
163,-22.54,138.36,1824.05,1562803701.0
164,-22.37,137.42,1806.41,1562803702.0
165,-22.28,136.95,1804.62,1562803702.0
166,-22.19,136.5,1803.04,1562803702.0
167,-22.11,136.04,1819.68,1562803703.0
168,-22.02,135.57,1802.62,1562803703.0
169,-21.92,135.1,1799.73,1562803703.0
170,-21.72,134.1,1818.41,1562803703.0
171,-21.61,133.57,1801.33,1562803704.0
172,-21.36,132.42,1811.6,1562803704.0
173,-23.09,138.74,1807.05,1562803709.0
174,-22.83,137.3,1801.6,1562803710.0
175,-22.75,136.84,1811.72,1562803710.0
176,-22.29,134.49,1822.28,1562803711.0
177,-22.19,133.98,1822.22,1562803711.0
178,-22.08,133.45,1809.03,1562803712.0
179,-21.96,132.88,1812.68,1562803712.0
180,-23.56,138.63,1806.67,1562803717.0
181,-22.42,132.75,1819.79,1562803720.0
182,-22.29,132.15,1806.88,1562803720.0
183,-23.94,138.02,1816.96,1562803725.0
184,-23.69,136.6,1805.45,1562803726.0
185,-23.6,136.14,1815.67,1562803726.0
186,-23.51,135.68,1821.52,1562803727.0
187,-23.12,133.72,1812.31,1562803727.0
188,-23.01,133.19,1805.02,1562803728.0
189,-22.89,132.62,1812.43,1562803728.0
190,-22.76,132.02,1816.16,1562803728.0
191,-24.78,140.05,1827.93,1562803733.0
192,-24.68,139.47,1824.1,1562803733.0
193,-24.59,138.93,1815.12,1562803733.0
194,-24.5,138.41,1829.74,1562803733.0
195,-24.41,137.91,1820.21,1562803733.0
196,-24.33,137.43,1806.69,1562803734.0
197,-24.24,136.95,1811.8,1562803734.0
198,-24.16,136.49,1802.27,1562803734.0
199,-23.98,135.55,1817.77,1562803735.0
200,-23.59,133.59,1824.26,1562803735.0
201,-25.15,139.37,1834.57,1562803741.0
202,-25.06,138.82,1817.36,1562803741.0
203,-24.97,138.3,1817.46,1562803741.0
204,-24.8,137.31,1817.13,1562803742.0
205,-24.71,136.84,1814.88,1562803742.0
206,-24.62,136.37,1827.38,1562803742.0
207,-24.54,135.9,1807.51,1562803742.0
208,-24.45,135.43,1823.38,1562803743.0
209,-24.36,134.96,1823.02,1562803743.0
210,-24.26,134.48,1824.68,1562803743.0
211,-24.16,133.98,1820.09,1562803743.0
212,-24.06,133.47,1827.01,1562803743.0
213,-23.69,131.75,1813.72,1562803744.0
214,-25.82,140.47,1813.13,1562803748.0
215,-25.62,139.26,1831.53,1562803749.0
216,-25.53,138.71,1833.72,1562803749.0
217,-25.44,138.19,1822.26,1562803749.0
218,-25.35,137.68,1809.64,1562803749.0
219,-25.26,137.2,1806.62,1562803750.0
